"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"P8HWQZPT","journalArticle","2005","Van Abbema, Dana; Bauer, Patricia","Autobiographical memory in middle childhood: Recollections of the recent and distant past","Memory","","0965-8211, 1464-0686","10.1080/09658210444000430","http://www.tandfonline.com/doi/full/10.1080/09658210444000430","","2005-11","2022-03-23 11:54:39","2022-03-23 11:54:39","2022-03-23 11:54:39","829-845","","8","13","","Memory","Autobiographical memory in middle childhood","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\M5HYE3RL\Van Abbema and Bauer - 2005 - Autobiographical memory in middle childhood Recol.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7X2DN74K","journalArticle","1981","Ackerman, Brian P.","Encoding specificity in the recall of pictures and words in children and adults","Journal of Experimental Child Psychology","","00220965","10.1016/0022-0965(81)90012-6","https://linkinghub.elsevier.com/retrieve/pii/0022096581900126","","1981-04","2022-03-23 11:54:41","2022-03-23 11:54:41","2022-03-23 11:54:41","193-211","","2","31","","Journal of Experimental Child Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\4ERNB5D4\Ackerman - 1981 - Encoding specificity in the recall of pictures and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5USBGSL","journalArticle","1982","Ackerman, Brian P.; Rust-Kahl, Elizabeth","The effects of contrastive encoding of semantic information on children's memory for words","Journal of Experimental Child Psychology","","00220965","10.1016/0022-0965(82)90069-8","https://linkinghub.elsevier.com/retrieve/pii/0022096582900698","","1982-12","2022-03-23 11:54:43","2022-03-23 11:54:43","2022-03-23 11:54:43","414-434","","3","34","","Journal of Experimental Child Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\KIIW7EV4\Ackerman and Rust-Kahl - 1982 - The effects of contrastive encoding of semantic in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HL433FRD","journalArticle","1985","Ackerman, Brian P.","The effects of specific and categorical orienting on children's incidental and intentional memory for pictures and words","Journal of Experimental Child Psychology","","00220965","10.1016/0022-0965(85)90043-8","https://linkinghub.elsevier.com/retrieve/pii/0022096585900438","","1985-04","2022-03-23 11:54:45","2022-03-23 11:54:45","2022-03-23 11:54:45","300-325","","2","39","","Journal of Experimental Child Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\4NMDWZJ2\Ackerman - 1985 - The effects of specific and categorical orienting .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJS5KG6T","journalArticle","2018","Amlien, Inge K.; Sneve, Markus H.; Vidal-Piñeiro, Didac; Walhovd, Kristine B.; Fjell, Anders M.","The Lifespan Trajectory of the Encoding-Retrieval Flip: A Multimodal Examination of Medial Parietal Cortex Contributions to Episodic Memory","The Journal of Neuroscience","","0270-6474, 1529-2401","10.1523/JNEUROSCI.1702-17.2018","https://www.jneurosci.org/lookup/doi/10.1523/JNEUROSCI.1702-17.2018","","2018-10-03","2022-03-23 11:54:48","2022-03-23 11:54:48","2022-03-23 11:54:48","8666-8679","","40","38","","J. Neurosci.","The Lifespan Trajectory of the Encoding-Retrieval Flip","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\9ERFSVLD\Amlien et al. - 2018 - The Lifespan Trajectory of the Encoding-Retrieval .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L9DLHTWD","journalArticle","2008","Anastasi, Jeffrey S.; Rhodes, Matthew G.","Examining differences in the levels of false memories in children and adults using child-normed lists.","Developmental Psychology","","1939-0599, 0012-1649","10.1037/0012-1649.44.3.889","http://doi.apa.org/getdoi.cfm?doi=10.1037/0012-1649.44.3.889","Several previous studies have demonstrated that children, when compared with adults, exhibit both lower levels of veridical memory and fewer intrusions when given semantically associated lists. However, researchers have drawn these conclusions using semantically associated word lists that were normed with adults, which may not lead to the same level of activation or gist generation in children. In the current study, the authors used similar associative word lists normed with children and then evaluated the memory of children and adults using these newly normed lists as well as the typical adult-normed lists. Results indicate that children showed lower true and false memories with both the child-normed and adult-normed lists. Thus, these data suggest that the negative relationship between age and false memories in the Deese–Roediger–McDermott (DRM; J. Deese, 1959; H. L. Roediger & K. B. McDermott, 1995) paradigm is not an artifact of the age group used to construct the lists.","2008-05","2022-03-23 11:54:50","2022-03-23 11:54:50","2022-03-23 11:54:50","889-894","","3","44","","Developmental Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\L5UVI4GN\Anastasi and Rhodes - 2008 - Examining differences in the levels of false memor.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RR8RN3G","journalArticle","2020","Arterberry, Martha E.; Albright, Eliana J.","Children’s Memory for Temporal Information: The Roles of Temporal Language and Executive Function","The Journal of Genetic Psychology","","0022-1325, 1940-0896","10.1080/00221325.2020.1741503","https://www.tandfonline.com/doi/full/10.1080/00221325.2020.1741503","The ability to recall the temporal order of events develops much more slowly than the ability to recall facts about events. To explore what processes facilitate memory for temporal information, we tested 3- to 6-yearold children (N ¼ 40) for immediate memory of the temporal order of events from a storybook, using a visual timeline task and a yes/no recognition task. In addition, children completed tasks assessing their understanding of before and after and the executive functions of inhibition using the Day/Night Stroop task and cognitive shifting using the Dimensional Change Card Sort (DCCS) task. Older children (Mage ¼ 69.25 months) outperformed younger children (Mage ¼ 52.35 months) on all measures; however, the only significant predictor of memory for the temporal ordering of events was cognitive shifting. The findings suggest that the difficulty in memory for temporal information is related to development of a general cognitive ability, as indexed by the DCCS, rather than specific temporal abilities.","2020-07-03","2022-03-23 11:54:54","2022-03-23 11:54:54","2022-03-23 11:54:54","191-205","","4","181","","The Journal of Genetic Psychology","Children’s Memory for Temporal Information","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\H9WDGUSC\Arterberry and Albright - 2020 - Children’s Memory for Temporal Information The Ro.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8DGQIYR","journalArticle","2014","Ashworth, Anna; Hill, Catherine M.; Karmiloff-Smith, Annette; Dimitriou, Dagmara","Sleep enhances memory consolidation in children","Journal of Sleep Research","","09621105","10.1111/jsr.12119","https://onlinelibrary.wiley.com/doi/10.1111/jsr.12119","Sleep is an active state that plays an important role in the consolidation of memory. It has been found to enhance explicit memories in both adults and children. However, in contrast to adults, children do not always show a sleep-related improvement in implicit learning. The majority of research on sleep-dependent memory consolidation focuses on adults; hence, the current study examined sleep-related effects on two tasks in children. Thirty-three typically developing children aged 6–12 years took part in the study. Actigraphy was used to monitor sleep. Sleep-dependent memory consolidation was assessed using a novel non-word learning task and the Tower of Hanoi cognitive puzzle, which involves discovering an underlying rule to aid completion. Children were trained on the two tasks and retested following approximately equal retention intervals of both wake and sleep. After sleep, children showed signiﬁcant improvements in performance of 14% on the non-word learning task and 25% on the Tower of Hanoi task, but no signiﬁcant change in score following the wake retention interval. Improved performance on the Tower of Hanoi may have been due to children consolidating explicit aspects of the task, for example rule-learning or memory of previous sequences; thus, we propose that sleep is necessary for consolidation of explicit memory in children. Sleep quality and duration were not related to children’s task performance. If such experimental sleep-related learning enhancement is generalizable to everyday life, then it is clear that sleep plays a vital role in children’s educational attainment.","2014-06","2022-03-23 11:54:57","2022-03-23 11:54:57","2022-03-23 11:54:57","304-310","","3","23","","J Sleep Res","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\VSK8EERR\Ashworth et al. - 2014 - Sleep enhances memory consolidation in children.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FR2FVPEM","journalArticle","1978","Asso, Doreen; Baudonnière, Pierre-Marie; Pecheux, Marie-Germaine; Taranne, Pierre","Eye-Movements of Six-Year-Old Children in Two Memorization Tasks","Perceptual and Motor Skills","","0031-5125, 1558-688X","10.2466/pms.1978.47.3.979","http://journals.sagepub.com/doi/10.2466/pms.1978.47.3.979","Eye movements, during the viewing phase of two memorization tasks, of 12 boys and 12 girls in a transitional period of memory development are described. The findings suggest that the development of ocular strategies parallels closely the emergence of other strategic behaviors and that information on eye movements would provide a necessary complement to the data on emerging ability to plan.","1978-12","2022-03-23 11:54:58","2022-03-23 11:54:58","2022-03-23 11:54:58","979-982","","3","47","","Percept Mot Skills","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\5WI4UVEX\Asso et al. - 1978 - Eye-Movements of Six-Year-Old Children in Two Memo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JP72LEXU","journalArticle","2012","Badger, Julia R.; Shapiro, Laura R.","Evidence of a transition from perceptual to category induction in 3- to 9-year-old children","Journal of Experimental Child Psychology","","00220965","10.1016/j.jecp.2012.03.004","https://linkinghub.elsevier.com/retrieve/pii/S0022096512000562","We examined whether inductive reasoning development is better characterized by accounts assuming an early category bias versus an early perceptual bias. We trained 264 children aged 3 to 9 years to categorize novel insects using a rule that directly pitted category membership against appearance. This was followed by an induction task with perceptual distractors at different levels of featural similarity. An additional 52 children were given the same training followed by an induction task with alternative stimuli. Categorization performance was consistently high; however, we found a gradual transition from a perceptual bias in our youngest children to a category bias around 6 or 7 years of age. In addition, children of all ages were equally distracted by higher levels of featural similarity. The transition is unlikely to be due to an increased ability to inhibit perceptual distractors. Instead, we argue that the transition is driven by a fundamental change in children’s understanding of category membership.","2012-09","2022-03-23 11:55:00","2022-03-23 11:55:00","2022-03-23 11:55:00","131-146","","1","113","","Journal of Experimental Child Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\uyenn\Zotero\storage\G36KR56A\Badger and Shapiro - 2012 - Evidence of a transition from perceptual to catego.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
