Contrast,Similarity
1 vs. 1,0.668300654
1 vs. 1,0.579411765
1 vs. 1,0.591063348
1 vs. 1,0.597285068
1 vs. 1,0.578054299
1 vs. 1,0.755404726
1 vs. 1,0.588235294
1 vs. 1,0.552521008
1 vs. 1,0.735294118
1 vs. 1,0.544710192
1 vs. 1,0.589492207
1 vs. 1,0.589492207
1 vs. 1,0.523001508
1 vs. 1,0.570432019
1 vs. 1,0.647232858
1 vs. 1,0.544710192
1 vs. 1,0.594887955
1 vs. 1,0.525263952
1 vs. 1,0.634238311
1 vs. 1,0.552224736
1 vs. 1,0.591211485
1 vs. 1,0.471907994
1 vs. 1,0.571859513
1 vs. 1,0.764328808
1 vs. 1,0.687405732
1 vs. 1,0.645248869
1 vs. 1,0.60678733
1 vs. 1,0.709351433
1 vs. 1,0.728582202
1 vs. 1,0.683710407
1 vs. 1,0.565826331
1 vs. 1,0.712023271
1 vs. 1,0.681318681
1 vs. 1,0.631975867
1 vs. 1,0.678194355
1 vs. 1,0.562809739
1 vs. 1,0.919710192
1 vs. 1,0.520649285
1 vs. 1,0.593568197
1 vs. 1,0.579059829
1 vs. 1,0.51405947
1 vs. 1,0.48907563
1 vs. 1,0.564752568
1 vs. 1,0.638281979
1 vs. 1,0.620308123
1 vs. 1,0.669683258
1 vs. 1,0.803167421
1 vs. 1,0.475301659
1 vs. 1,0.437971342
1 vs. 1,0.524509804
1 vs. 1,0.437728938
1 vs. 1,0.751131222
1 vs. 1,0.709087481
1 vs. 1,0.557422969
1 vs. 1,0.561157796
1 vs. 1,0.680205415
1 vs. 1,0.597913524
1 vs. 1,0.559451986
1 vs. 1,0.591126194
1 vs. 1,0.591126194
1 vs. 1,0.579562594
1 vs. 1,0.585972851
1 vs. 1,0.585164835
1 vs. 1,0.585164835
1 vs. 1,0.49356281
1 vs. 1,0.606334842
1 vs. 1,0.497360483
1 vs. 1,0.628582202
1 vs. 1,0.740950226
1 vs. 1,0.667043741
1 vs. 1,0.53021978
1 vs. 1,0.64869281
1 vs. 1,0.706385118
1 vs. 1,0.494846657
1 vs. 1,0.581302521
1 vs. 1,0.640826331
1 vs. 1,0.539285714
1 vs. 1,0.598227753
1 vs. 1,0.495448179
1 vs. 1,0.462418301
1 vs. 1,0.698704482
1 vs. 1,0.706259427
