Entry_ID,Eye tracking,Imaging structure,Imaging function,Stimuli,Modality,Repetition of encoding trials,Delay
Abbema_2005_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ackerman_1985_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Amlien_2018_Task_1,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Amlien_2018_Task_2,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Anastasi_2008_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Arciuli_2011_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Arterberry_2020_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Arterberry_2020_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Ashworth_2014_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Asso_1978_Task_1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Asso_1978_Task_2,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Badger_2012_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Baker-Ward_1993_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Balcomb_2008_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Barry_2007_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2007_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Bauer_2010_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2010_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2012_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2012_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2012b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2012b_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2012c_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2013b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2014_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Bauer_2014b_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2015_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2015_Task_2,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2016_Task_1,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Bauer_2016b_Task_1,1.0,0.0,0.0,1.0,1.0,1.0,1.0
